Location,Price,No. of rooms,No. of bathrooms,Area,Adress,Colony,Type
lorenzo barcelata 66,20000,3,2,227,Santa Ana Tepetitlán,Zapopan,House
Escorza 309,40000,4,2,400,Americana,Guadalajara,House
Mar Blanco,26000,4,4,153,Fraccionamiento Lomas Del Country,Guadalajara,House
Av. Paseo del Anochecer 964,33000,3,3,144,Fraccionamiento Solares,Zapopan,House
Blvd. Jardín Real 543,35000,3,4,228,Valle Real,Zapopan,House
 Av. Inglaterra  6363,19800,3,2,122,Jocotán,Zapopan,House
circuito de la mandarina 9,7000,1,3,101,Alameda,Tlajomulco de Zúñiga,House
antiguo camino a tesistan 8875,11000,3,4,90,Nuevo México,Zapopan,House
Av Lopez Mateos Sur 5555,38000,3,3,305,Residencial Provenza,Tlajomulco de Zúñiga,House
PASEO DEL ANOCHECER  418,29500,4,5,189,Fraccionamiento Solares,Zapopan,House
AV. las moras 1516,24000,3,2,315,San Agustín,Tlajomulco de Zúñiga,House
Paseo de la Guarnición,12000,3,2,85,Villas de Zapopan,Zapopan,House
Toronjos 469,14000,3,2,143,Fraccionamiento El Alcázar (Casa Fuerte),Tlajomulco de Zúñiga,House
country ,12000,3,2,108,Santa Ana Tepetitlán,Zapopan,House
Paseo San Atilio 345,19800,2,3,505,Fraccionamiento Cortijo de San Agustin,Tlajomulco de Zúñiga,House
AV PASEO SOLARES 1333,100000,3,3,798,Country Club,Guadalajara,House
SUR,46500,3,4,360,Valle Real,Zapopan,House
PRIVANZA ,28000,4,4,157,Fraccionamiento Solares,Zapopan,House
,28000,4,3,254,Residencial Provenza,Tlajomulco de Zúñiga,House
,34000,3,,134,La Mojonera,Zapopan,House
Calle Viñedo ,13500,3,2,84,Fraccionamiento Real de Valdepeñas,Zapopan,House
"Paseo san Rafael 2971, valle real ",90000,6,5,429,Valle Real,Zapopan,House
AV NUEVA GALICIA #50,15000,3,2,123,Fraccionamiento Nueva Galicia Residencial,Tlajomulco de Zúñiga,House
Paseo de la alianza,48000,4,4,550,Fraccionamiento Valle Imperial,Zapopan,House
Valle Real,55000,3,3,300,Valle Real,Zapopan,House
lopez mateos sur 1450,25000,3,2,146,El Palomar,Tlajomulco de Zúñiga,House
Paseo San Arturo Pte.   101,46000,3,4,301,Valle Real,Zapopan,House
"avenida de la pradera 844 coto albano #46, el campestre zapopan jalisco",8500,2,1,87,Fraccionamiento Campestre Los Robles,Zapopan,House
Av. Vista Pte. 972,130000,4,4,1690,El Palomar,Tlajomulco de Zúñiga,House
Euclides #3233,9000,3,2,75,Vista Sur Residencial,Tlajomulco de Zúñiga,House
Av Alameda Punto Sur,13500,3,2,139,Fraccionamiento Villa California,Tlajomulco de Zúñiga,House
paseo de castilla 125,25000,4,3,220,Vallarta Poniente,Guadalajara,House
Madeiras 197 139,22000,3,2,190,Punto Sur,Tlajomulco de Zúñiga,House
AV. PASEO DEL ALVA 1269 ,130000,4,4,1690,El Palomar,Tlajomulco de Zúñiga,House
LA ROMANA 175,14000,3,2,105,Fraccionamiento Residencial San Isidro,Zapopan,House
,37000,4,3,220,Fraccionamiento Jardín Real,Zapopan,House
,15000,2,2,99,Madeiras,Zapopan,House
,12500,2,2,83,El Quemado,Zapopan,House
,35000,4,5,442,Residencial Provenza,Tlajomulco de Zúñiga,House
,25000,4,2,250,Paseos del Sol,Zapopan,House
Valle imperial,120000,4,4,850,Altamira,Zapopan,House
Av Acueducto 1060,23000,4,3,160,Fraccionamiento Valle Imperial,Zapopan,House
PUNTO SUR ,14500,3,2,120,Girasoles Elite,Zapopan,House
"Av. de las Rosas, Rancho Contento, ",23000,3,2,131,Punto Sur,Tlajomulco de Zúñiga,House
Bv Valle Imperial ,65000,3,3,480,Rancho Nuevo,Guadalajara,House
Casa en Renta en Bosques Vallarta,15500,3,2,120,El Fortín,Zapopan,House
Pico de Orizaba 124,17500,2,2,117,Fraccionamiento Valle Imperial,Zapopan,House
LA PALMA 15 17,26000,3,4,165,Zapopan,Jalisco,House
"Av. Sta. Margarita 4950, Jardín Real, 45138 Zapopan, Jal.",11000,2,2,90,Independencia,Guadalajara,House
ABOGADOS 582,12000,3,2,122,Alta California Residencial,Tlajomulco de Zúñiga,House
ADAMAR   NUMERO    548   COTO   ALAMEDA  INTERIOR  151 .,22200,3,2,95,Fraccionamiento Valle Esmeralda,Zapopan,House
Otranto 3876,28200,1,2,170,Lomas de Guadalupe,Zapopan,House
cauda 999,10500,3,2,107,Adamar,Tlajomulco de Zúñiga,House
Paseo solares 2175,60000,3,3,300,Providencia,Guadalajara,House
AV. NOVELISTAS 5646,25000,4,2,220,Jardines del Bosque,Guadalajara,House
Zapote del Valle,30000,3,2,298,Bosques Vallarta,Zapopan,House
country Club,20500,3,3,130,Fraccionamiento Jardines Vallarta,Zapopan,House
,15000,1,2,253,El Zapote Del Valle,Tlajomulco de Zúñiga,House
,130000,3,3,1200,Country Club,Guadalajara,House
,17000,3,2,119,Fraccionamiento Nueva Galicia Residencial,Tlajomulco de Zúñiga,House
Fracc. Element  11,12000,3,3,80,Fraccionamiento Parques de Tesistán,Zapopan,House
Av General Ramon Corona 456,12500,3,2,96,San Agustín,Tlajomulco de Zúñiga,House
AV. RIO DEVA 146 45,45000,1,3,364,Fraccionamiento Arauca,Zapopan,House
Carretera a Nogales 3201,16000,3,2,105,Fraccionamiento Cortijo de San Agustin,Tlajomulco de Zúñiga,House
