Location,Price,No. of rooms,No. of bathrooms,Area,Adress,Colony,Type
Privada Atotonilco 627,18500,3,2,120,Nuevo México,Zapopan,Department
LA LEY ,40000,3,3,233,Providencia,Guadalajara,Department
av camino de los parques 3880,14500,2,1,94,Lomas de San Isidro,Zapopan,Department
Livify,23000,1,2,55,Jardines Universidad,Zapopan,Department
Av. Naciones Unidas 5546,22000,2,2,74,Vallarta Universidad,Zapopan,Department
Av acueducto 6075,35000,2,2,84,Puerta de Hierro,Zapopan,Department
Avenida Paseo de la Toscana,28500,2,,103,Valle Real,Zapopan,Department
Rinconada de los Jazmines 149,22000,4,3,200,Lomas de Santa Anita,Tlajomulco de Zúñiga,Department
Livify,23000,1,1,55,Jardines Universidad,Zapopan,Department
Avenida niños heroes 2050,22000,2,2,84,Americana,Guadalajara,Department
"AV. PASEO DEL ALVA 1192, COTO 1",16900,3,2,99,Fraccionamiento Valle Imperial,Zapopan,Department
el cielo,150000,6,6,620,El Cielo Country Club Tlajomulco,El Palomar,Department
Paseo de los Virreyes  980,35000,3,3,270,Virreyes Residencial,Zapopan,Department
Brasilia 2790,35000,3,2,130,Fraccionamiento Colomos Providencia,Guadalajara,Department
Av. Acueducto 6075,45000,3,2,107,Puerta de Hierro,Zapopan,Department
ROYAL COUNTRY 4734,34000,3,2,132,Puerta de Hierro,Zapopan,Department
Paseo de los Virreyes 250,59000,3,3,330,Puerta de Hierro,Zapopan,Department
vistas del cielo 369,120000,4,4,635,El Palomar,Tlajomulco de Zúñiga,Department
Av del Bajio 1700,14500,1,1,33,San Juan de Ocotan,Zapopan,Department
Arcángeles ,100000,3,3,600,Valle Real,Zapopan,Department
Torre Livorno,31850,2,2,136,Lomas Altas,Zapopan,Department
"Blvrd Puerta de Hierro 5065, Puerta de Hierro,  Zapopan, Jal.",53000,2,2,169,Puerta de Hierro,Zapopan,Department
Calle Mar Mediterráneo 1254,32900,2,2,13300,Jardines de La Patria,Zapopan,Department
Colegio  militar 3842,27500,1,1,98,Country Club,Guadalajara,Department
PASEO LOMAS ALTAS 4777,14600,3,2,94,El Fortín,Zapopan,Department
,65000,3,4,220,Puerta de Hierro,Zapopan,Department
,38000,3,4,151,Lomas Altas,Zapopan,Department
la merced 925,40000,4,3,198,Chapalita,Guadalajara,Department
Calz. Central 503,9990,2,1,138,Ciudad Granja,Zapopan,Department
Alcamo 3050,25000,2,2,130,Monraz,Guadalajara,Department
gabriel castaños 2769,25000,2,2,80,Arcos Vallarta,Guadalajara,Department
VALLE DE ATEMAJAC 2445,17000,3,2,160,Valle Real,Zapopan,Department
Colomos Providencia,47000,2,3,98,Fraccionamiento Colomos Providencia,Guadalajara,Department
AV GUADALUPE 4409,19000,1,2,50,Ciudad de los niños,Zapopan,Department
amatista 2558,7799,3,1,177,Fraccionamiento Residencial Victoria,Zapopan,Department
Mar Egeo,52800,2,3,132,Country Club,Guadalajara,Department
Juan Palomar y Arias 765,40000,1,2,72,Prados de Providencia,Guadalajara,Department
Av. Aviación 4139 San Juan de Ocotan Zapopan jalisco ,24000,1,1,45,Americana,Guadalajara,Department
"Calle Vidrio 1984, Col Americana",18500,3,1,130,Valle Real,Zapopan,Department
perla 3623,18500,2,3,72,Fraccionamiento Valle Imperial,Zapopan,Department
leon tolstoi 5347,23000,6,2,645,Americana,Guadalajara,Department
AVENIDA DEL BAJÍO 1700,60000,2,5,120,Bosques de La Victoria,Guadalajara,Department
calle la cauda 720,15000,1,2,66,Vallarta Universidad,Zapopan,Department
Av Universidad 1011,14500,2,1,108,El Bajío,Zapopan,Department
Sendero de los Encinos ,24000,2,2,110,Jardines del Bosque,Guadalajara,Department
,37900,4,2,428,Andares Centro Comercial,Zapopan,Department
,50000,,4,,Puerta de Hierro,Zapopan,Department
Av Naciones Unidas 7879,18000,2,2,66,Virreyes Residencial,Zapopan,Department
Avenida niños heroes 2050,22000,2,2,84,Americana,Guadalajara,Department
Ottawa 1360,32000,2,2,130,Fraccionamiento Colomos Providencia,Guadalajara,Department
Av. Empresarios 405,60000,2,2,143,Puerta de Hierro,Zapopan,Department
RAFAEL SANZIO 632,24500,2,1,103,Arcos de Guadalupe,Zapopan,Department
Av. Naciones Unidas 5546,22000,2,2,74,Vallarta Universidad,Zapopan,Department
Valparaiso 2367,21500,1,1,63,Providencia,Guadalajara,Department
Paseo de los Virreyes 250,59000,3,3,330,Puerta de Hierro,Zapopan,Department
Río de la Plata 2477 502,120000,3,5,600,Fraccionamiento Colomos Providencia,Guadalajara,Department
Altamira 885,25000,2,2,125,Altamira,Zapopan,Department
Av acueducto 6075,35000,2,2,84,Puerta de Hierro,Zapopan,Department
ROYAL COUNTRY 4734,34000,3,2,132,Puerta de Hierro,Zapopan,Department
Empresarios,45000,3,4,200,Puerta de Hierro,Zapopan,Department
Brasilia 2790,35000,3,2,130,Fraccionamiento Colomos Providencia,Guadalajara,Department
Av del Bajio 1700,14500,1,1,33,San Juan de Ocotan,Zapopan,Department
Libra 481 206 C,30000,3,2,127,Lomas Altas,Zapopan,Department
Diag Manuel Cambre 2235,39500,2,2,137,Providencia,Guadalajara,Department
av montevideo 3078,25500,2,2,116,Fraccionamiento Lomas Del Country,Guadalajara,Department
gabriel castaños 2769,33000,2,2,145,Colomos Patria,Zapopan,Department
,25000,2,2,130,Arcos Vallarta,Guadalajara,Department
Alcamo 3050,25000,2,2,138,Monraz,Guadalajara,Department
Jardines de Guadalupe,17000,2,1,62,Fraccionamiento Jardines de Guadalupe,Zapopan,Department
"Av. Hidalgo, Ladrón de Guevara, Guadalajara, Fraccionamiento Ladrón de Guevara, Guadalajara",19500,1,2,70,Ladrón de Guevara,Guadalajara,Department
Diag. San Jorge 93,35000,2,2,135,Fraccionamiento Vallarta San Jorge,Guadalajara,Department
Av. Empresarios 62,68600,2,2,140,Puerta de Hierro,Zapopan,Department
Paso Valle Real 4000,36000,2,1,150,Valle Real,Zapopan,Department
"Calzada Central #509, Col. Ciudad Granja",20500,1,2,50,Ciudad Granja,Zapopan,Department
Av Paseo de La Luna 788,19500,2,3,94,Fraccionamiento Solares,Zapopan,Department
Av. Paseo toscana cima park 122,40000,3,3,185,Valle Real,Zapopan,Department
Avenida Labna 1437,59000,3,2,180,Puerta de Hierro,Zapopan,Department
Amatista 2558,27000,2,1,137,Ciudad Del Sol,Zapopan,Department
Brasilia 2790,7799,1,2,50,Fraccionamiento Residencial Victoria,Zapopan,Department
Torre Livorno,24500,1,2,74,Providencia,Guadalajara,Department
PASEO LOMAS ALTAS 4777,30000,3,2,165,Providencia,Guadalajara,Department
Calle Mar  Mediterráneo 1254,28000,2,2,90,Americana,Guadalajara,Department
providencia ,26300,2,4,105,Lomas Altas,Zapopan,Department
AVENIDA DEL BAJÍO 1700,38000,3,1,151,Lomas Altas,Zapopan,Department
,18498,1,3,41,Country Club,Guadalajara,Department
,36500,2,1,142,Prados de Providencia,Guadalajara,Department
,14500,1,,66,El Bajío,Zapopan,Department
Av. Paseo Cima Real,70000,3,4,2021,Valle Real,Zapopan,Department
"Mar Mediterráneo 1254, 44610 Guadalajara, Jal.",26950,1,1,95,Country Club,Guadalajara,Department
C ottawa,30500,2,2,110,Providencia,Guadalajara,Department
Amatista 2558-4,70000,4,5,301,Fraccionamiento Vallarta San Jorge,Guadalajara,Department
Av. Acueducto 2380,20900,1,1,120,Valle Real,Zapopan,Department
Francisco I. Madero 6259,31000,2,2,116,Altamira,Zapopan,Department
Av. Tepeyac # 1289,7799,1,1,44,Fraccionamiento Residencial Victoria,Zapopan,Department
Morelos 2080,34500,3,2,120,Valle Real,Zapopan,Department
Zapopan,19700,2,1,89,Jocotán,Zapopan,Department
hidalgo,12000,3,2,80,Fraccionamiento Villas Del Ixtepete,Zapopan,Department
Asuncion 1985,18000,1,1,60,Ladrón de Guevara,Guadalajara,Department
MIGUEL ANGEL 87,30000,3,4,198,Lagos Del Country ,Zapopan,Department
Calle Mar mediterráneo 1254,22000,1,1,73,Ladrón de Guevara,Guadalajara,Department
Calle Asunción 1985,26000,2,2,90,Americana,Guadalajara,Department
Talavera Poniente #3605,28600,2,2,127,Fraccionamiento Colomos Providencia,Guadalajara,Department
Calle asuncion 1985,33000,3,2,140,Fraccionamiento Real Vallarta,Zapopan,Department
,30000,2,2,90,Country Club,Guadalajara,Department
,50000,3,3,160,Providencia,Guadalajara,Department
,19000,3,2,98,Fraccionamiento Real de Valdepeñas,Zapopan,Department
,50000,3,3,180,Fraccionamiento Colomos Providencia,Guadalajara,Department
"Juan Palomar y Arias 765. Col. Prados Providencia. Guadalajara, Jalisco.",36500,3,3,167,Providencia,Guadalajara,Department
av paseo la toscana 600,34000,3,2,135,Valle Real,Zapopan,Department
Av Adolfo López Mateos Nte 1072A,32000,3,2,167,Providencia,Guadalajara,Department
Juan Palomar y Arias 765,40000,2,2,132,Prados de Providencia,Guadalajara,Department
amatista 2558,7799,1,1,50,Fraccionamiento Residencial Victoria,Zapopan,Department
Eulogio Parra 2795,46800,4,4,280,Providencia 1a Secc,Guadalajara,Department
Mar Caribe 1120,60000,3,3,385,Country Club,Guadalajara,Department
Ignacio L Vallarta 3300 colonia Vallarta norte ,42000,3,2,178,Vallarta Sur,Guadalajara,Department
 Avenida Central 535,69000,3,4,300,Fraccionamiento Cumbres,Zapopan,Department
Circuito de los himalayas,48000,3,4,220,Virreyes Residencial,Zapopan,Department
calle la cauda 720,24000,2,2,108,Jardines del Bosque,Guadalajara,Department
Mar Mediterraneo,200000,3,3,410,Country Club,Guadalajara,Department
"1360, Circunvalación Americas, 44630",6000,1,2,75,Santa María de Silo,Guadalajara,Department
Paseo Valle Real 900,38000,2,3,177,Providencia,Guadalajara,Department
Av. Acueducto 2380,45000,3,2,175,Valle Real,Zapopan,Department
Avenida Labna 1437,34500,3,2,120,Valle Real,Zapopan,Department
"Blvrd Puerta de Hierro 5065, Puerta de Hierro,  Zapopan, Jal.",27000,2,1,137,Ciudad Del Sol,Zapopan,Department
Josefa Ortíz de Domínguez 152,18000,1,2,60,Americana,Guadalajara,Department
,53000,2,1,169,Puerta de Hierro,Zapopan,Department
,17000,2,,60,La Perla,Guadalajara,Department
"Fracc. Punto sur este, complejo esenika",23000,2,2,96,Punto Sur,Tlajomulco de Zúñiga,Department
Francisco I. Madero 6259,19700,2,1,89,Jocotán,Zapopan,Department
PASEO LOMAS ALTAS 4777,38000,3,4,151,Lomas Altas,Zapopan,Department
Antonio de León 2582,70000,4,5,301,Fraccionamiento Vallarta San Jorge,Guadalajara,Department
Buenos Aires 3060,24000,2,2,93,Fraccionamiento Ladrón de Guevara,Guadalajara,Department
Av. Circunvalación Alvarez del Castillo 1018,25000,1,1,55,Providencia,Guadalajara,Department
Morelos 2080,22200,1,2,40,Ayuntamiento,Guadalajara,Department
"1360, Circunvalación Americas, 44630",21500,2,2,70,Americana,Guadalajara,Department
"Av. Hidalgo, Ladrón de Guevara, Guadalajara, Fraccionamiento Ladrón de Guevara, Guadalajara",38000,2,2,177,Providencia,Guadalajara,Department
Hidalgo residences,29000,1,1,160,Valle Real,Zapopan,Department
"Calle Cto. Madrigal 1151, Colinas de San Javier",19500,2,2,70,Ladrón de Guevara,Guadalajara,Department
"Av. Central Guillermo Gonzalez Camarena 500, Valle Real",25000,2,2,64,Americana,Guadalajara,Department
Avenida Acueducto 2380,31000,2,2,116,Altamira,Zapopan,Department
"Paseo la Toscana #122 - 14, Valle Real, Zapopan",28500,3,3,90,Americana,Guadalajara,Department
"Av. Paseo La Toscana 122, Valle Real, 45019 Zapopan, Jal.",34000,1,2,177,Fraccionamiento Colinas de San Javier,Guadalajara,Department
,24000,2,2,75,Valle Real,Zapopan,Department
,30000,3,3,84,Colinas de San Javier,Zapopan,Department
,59000,3,3,180,Puerta de Hierro,Zapopan,Department
,40000,3,3,229,Valle Real,Zapopan,Department
,36900,,,200,Valle Real,Zapopan,Department
Av. Paseo toscana cima park 122,40000,3,3,185,Valle Real,Zapopan,Department
AV ACUEDUCTO 2380,38000,2,2,109,Jardines Universidad,Zapopan,Department
Av. Aviación 4139 205-B,26000,2,2,90,Colinas de San Javier,Zapopan,Department
C. Hipódromo 2005 A,21800,1,1,54,Fraccionamiento Solares,Zapopan,Department
Jardines de Guadalupe,32000,3,2,163,Providencia,Guadalajara,Department
Av Talavera Poniente 3605,17000,2,1,62,Fraccionamiento Jardines de Guadalupe,Zapopan,Department
Av. Piotr Ilich Tchaikovski 455,16000,2,1,77,Fraccionamiento Real de Valdepeñas,Zapopan,Department
C ottawa,7800,1,2,39,La Estancia,Zapopan,Department
C. Plan de Guadalupe,30500,2,2,110,Providencia,Guadalajara,Department
Juan Ruiz de Alarcón  519,14500,2,1,81,La Palmita,Zapopan,Department
"Mar Mediterráneo 1254, 44610 Guadalajara, Jal.",17000,2,1,56,Moderna,Guadalajara,Department
Av México 5000 ,26950,1,2,95,Country Club,Guadalajara,Department
Av Naciones Unidas 5546,27000,2,2,100,Juan Manuel Vallarta,Zapopan,Department
gabriel castaños 2769,26500,2,2,105,Vallarta Universidad,Zapopan,Department
AVENIDA CHAPULTEPEC 480,25000,2,2,130,Arcos Vallarta,Guadalajara,Department
Alcamo 3050,28000,2,2,90,Americana,Guadalajara,Department
Av.paseo la Toscana 122 cima park ,19500,2,2,94,Americana,Guadalajara,Department
,25000,2,2,138,Monraz,Guadalajara,Department
,32000,3,2,138,Providencia,Guadalajara,Department
,29500,2,,114,Valle Real,Zapopan,Department
Calle Mar  Mediterráneo 1254,18498,1,1,41,Country Club,Guadalajara,Department
Brasilia 2790,24500,1,2,74,Providencia,Guadalajara,Department
juan ruiz de alarcon 229,25000,2,2,72,Americana,Guadalajara,Department
Alcalde 960,24000,1,1,70,Americana,Guadalajara,Department
Zapopan,25000,3,3,119,Arcos de Guadalupe,Zapopan,Department
CTO. DE LOS HIMALAYA 1351,17000,2,2,84,Alcalde Barranquitas,Guadalajara,Department
Av. Empresarios 62,30000,3,4,198,Lagos Del Country ,Zapopan,Department
Av. Juan palomar y arias,27000,2,2,1,Lomas Altas,Zapopan,Department
Torre Emile,46000,3,4,230,Virreyes Residencial,Zapopan,Department
providencia ,68600,2,2,140,Puerta de Hierro,Zapopan,Department
"P.º de los Virreyes 250, Puerta de Hierro, 45116 Zapopan, Jal.",45000,3,2,166,Prados de Providencia,Guadalajara,Department
Calle María Reyes 4844,36000,3,3,145,Valle Real,Zapopan,Department
Libra 481 206 C,36500,2,3,142,Prados de Providencia,Guadalajara,Department
,59500,3,3,296,Puerta de Hierro,Zapopan,Department
,7000,2,1,50,TetlAn,Guadalajara,Department
,30000,3,2,127,Lomas Altas,Zapopan,Department
,39500,2,2,137,Providencia,Guadalajara,Department
,26000,2,2,90,Americana,Guadalajara,Department
,45000,3,2,167,Santa Margarita Residencial,Zapopan,Department
,21000,2,2,105,Fraccionamiento Ladrón de Guevara,Guadalajara,Department
Calle Mar  Mediterráneo 1254,18498,1,1,41,Country Club,Guadalajara,Department
Brasilia 2790,24500,1,2,74,Providencia,Guadalajara,Department
juan ruiz de alarcon 229,25000,2,2,72,Americana,Guadalajara,Department
Alcalde 960,24000,1,1,70,Americana,Guadalajara,Department
Zapopan,25000,3,3,119,Arcos de Guadalupe,Zapopan,Department
CTO. DE LOS HIMALAYA 1351,17000,2,2,84,Alcalde Barranquitas,Guadalajara,Department
Av. Empresarios 62,30000,3,4,198,Lagos Del Country ,Zapopan,Department
Av. Juan palomar y arias,27000,2,2,1,Lomas Altas,Zapopan,Department
Torre Emile,46000,3,4,230,Virreyes Residencial,Zapopan,Department
providencia ,68600,2,2,140,Puerta de Hierro,Zapopan,Department
"P.º de los Virreyes 250, Puerta de Hierro, 45116 Zapopan, Jal.",45000,3,2,166,Prados de Providencia,Guadalajara,Department
Calle María Reyes 4844,36000,3,3,145,Valle Real,Zapopan,Department
Libra 481 206 C,36500,2,3,142,Prados de Providencia,Guadalajara,Department
,59500,3,3,296,Puerta de Hierro,Zapopan,Department
,7000,2,1,50,TetlAn,Guadalajara,Department
,30000,3,2,127,Lomas Altas,Zapopan,Department
,39500,2,2,137,Providencia,Guadalajara,Department
,26000,2,2,90,Americana,Guadalajara,Department
,45000,3,2,167,Santa Margarita Residencial,Zapopan,Department
,21000,2,2,105,Fraccionamiento Ladrón de Guevara,Guadalajara,Department
"Av. Paseo Cima Real 461, Valle Real, 45019 Zapopan, Jal.",36000,3,3,145,Valle Real,Zapopan,Department
" P.º de Los Cedros 1180, Granja, 45010 Zapopan, Jal.",18000,2,2,94,Ciudad Granja,Zapopan,Department
"Av. Paseo La Toscana 122, Valle Real, 45019 Zapopan, Jal.",36900,3,3,200,Valle Real,Zapopan,Department
prolonagcion jesus,39500,2,2,137,Providencia,Guadalajara,Department
Calle La Rioja 2889,12500,2,2,54,Mezquitan Country,Guadalajara,Department
Calle Barlovento 2829,45000,3,2,167,Santa Margarita Residencial,Zapopan,Department
Av Adolfo López Mateos Nte 1072A,20000,2,1,110,Valle Real,Zapopan,Department
Ley,17000,1,1,55,Providencia,Guadalajara,Department
av montevideo 3078,15000,2,2,65,Bosques de La Victoria,Guadalajara,Department
Prolongación Jesús 3870,32000,3,1,167,Providencia,Guadalajara,Department
Paso Valle Real 4000,21500,1,2,96,Fraccionamiento Circunvalación Vallarta,Guadalajara,Department
leon tolstoi 5347,33000,2,2,145,Colomos Patria,Zapopan,Department
Calz. Circunvalación Pte 781,20000,2,2,110,Valle Real,Zapopan,Department
Av. México 5000,36000,2,2,150,Valle Real,Zapopan,Department
Jardines de Guadalupe,15000,2,3,120,Vallarta Universidad,Zapopan,Department
Josefa Ortíz de Domínguez 152,59000,3,2,180,Puerta de Hierro,Zapopan,Department
,34000,2,1,86,Ciudad Granja,Zapopan,Department
,19900,1,1,111,Juan Manuel Vallarta,Zapopan,Department
,17000,2,,62,Fraccionamiento Jardines de Guadalupe,Zapopan,Department
,17000,2,,60,La Perla,Guadalajara,Department
Circuito de los himalayas,48000,3,4,220,Virreyes Residencial,Zapopan,Department
Asuncion 1985,28600,2,2,127,Fraccionamiento Colomos Providencia,Guadalajara,Department
Av México 5000 ,27000,2,2,100,Juan Manuel Vallarta,Zapopan,Department
Calle Mar Mediterráneo 1254,33000,2,2,159,Americana,Guadalajara,Department
Rinconada del arroyo,19800,2,2,70,Country Club,Guadalajara,Department
Av. Universidad 1011,27500,1,1,98,Country Club,Guadalajara,Department
Talavera Poniente #3605,16000,2,2,106,Fraccionamiento Jardín Real,Zapopan,Department
Av. Aviación 3100,21000,2,2,67,Bosque Valdepeñas,Zapopan,Department
Av. Paseo Valle Real 1222,36000,2,2,110,Jardines Universidad,Zapopan,Department
Brasilia 2790,19000,3,2,98,Fraccionamiento Real de Valdepeñas,Zapopan,Department
C ottawa,25000,2,2,82,Valle Real,Zapopan,Department
Calle Mar  Mediterráneo 1254,27500,2,2,151,Valle Real,Zapopan,Department
gabriel castaños 2769,25000,1,2,72,Fraccionamiento Colomos Providencia,Guadalajara,Department
" De los Himalaya 1351, Las Cumbres, Virreyes, 45110 Zapopan, Jal.",70000,4,5,301,Fraccionamiento Vallarta San Jorge,Guadalajara,Department
Av. Juan palomar y arias,30500,2,2,110,Providencia,Guadalajara,Department
Torre Emile,18498,1,1,41,Country Club,Guadalajara,Department
,25000,2,2,130,Arcos Vallarta,Guadalajara,Department
,46000,3,4,230,Virreyes Residencial,Zapopan,Department
,45000,3,2,166,Prados de Providencia,Guadalajara,Department
,36000,3,3,145,Valle Real,Zapopan,Department
"Av Montevideo 3550, Lomas del Valle, 44660 Zapopan, Jal.",38000,3,3,119,Lomas del Valle,Zapopan,Department
Juan Palomar y Arias 765,40000,2,2,132,Prados de Providencia,Guadalajara,Department
"Calle Vidrio 1984, Col Americana",23000,2,2,72,Americana,Guadalajara,Department
JOSE MARIA MORELOS 2080 401,31000,2,2,116,Altamira,Zapopan,Department
av. paseo la toscana 122 cima park ,23000,2,2,90,Ladrón de Guevara,Guadalajara,Department
"Calzada Central #509, Col. Ciudad Granja",39000,3,2,196,Valle Real,Zapopan,Department
Asuncion 1985,30000,3,2,165,Providencia,Guadalajara,Department
Calle Barlovento 2829,20500,1,1,50,Ciudad Granja,Zapopan,Department
Morelos 2080,28600,2,2,127,Fraccionamiento Colomos Providencia,Guadalajara,Department
Paseo del Arcoiris 4082 1,15000,2,1,65,Bosques de La Victoria,Guadalajara,Department
Serena                                                                                             2767 112,21500,2,2,70,Americana,Guadalajara,Department
Avenida Patria 814 703,18000,2,2,120,Lomas Altas,Zapopan,Department
Av. Juan palomar y arias,25000,3,3,119,Arcos de Guadalupe,Zapopan,Department
CALLE Valparaíso 2367 ,27500,2,2,112,Jardines del Bosque,Guadalajara,Department
,27000,1,1,70,Providencia,Guadalajara,Department
,27000,2,2,96,Jardines Universidad,Zapopan,Department
,7299,1,1,70,Jardines del Bosque,Guadalajara,Department
,29000,2,2,160,Valle Real,Zapopan,Department
,45000,3,2,166,Prados de Providencia,Guadalajara,Department
,28000,2,2,81,Fraccionamiento Colomos Providencia,Guadalajara,Department
Brasilia 2790,18000,3,2,1,Fraccionamiento Residencial Victoria,Guadalajara,Department
Av Talavera Poniente 3605,25000,1,2,72,Fraccionamiento Colomos Providencia,Guadalajara,Department
Av. Aviación 4139 205-B,16000,2,2,77,Fraccionamiento Real de Valdepeñas,Zapopan,Department
 Av Paseo de la toscana,21800,1,1,54,Fraccionamiento Solares,Zapopan,Department
Av. San Luis Gonzaga 4956,28000,2,2,148,Valle Real,Zapopan,Department
Aurora Boreal Norte,25800,3,3,141,Fraccionamiento Jardines de Guadalupe,Zapopan,Department
Morelos 2080,14000,2,1,65,Arboledas ,Zapopan,Department
Av. Cvln. Jorge Álvarez del Castillo,21500,2,2,70,Americana,Guadalajara,Department
PASEO LOMAS ALTAS 4777,19500,1,1,60,Fraccionamiento Italia Providencia,Guadalajara,Department
VIDRIO 1984,38000,3,4,151,Lomas Altas,Zapopan,Department
"Mar Mediterráneo 1254, 44610 Guadalajara, Jal.",25000,2,2,64,Americana,Guadalajara,Department
av acueducto 2380,29000,2,2,160,Valle Real,Zapopan,Department
Vidrio 1894,32000,2,2,97,Country Club,Guadalajara,Department
BRASILIA 2790,25000,2,2,84,Colinas de San Javier,Zapopan,Department
"P.º de los Virreyes 250, Puerta de Hierro, 45116 Zapopan, Jal.",19000,1,1,60,Americana,Guadalajara,Department
Av. México 5000,20000,1,1,74,Providencia,Guadalajara,Department
"Mar Egeo #1452 - 11 esq. con Mar Mediterraneo, Country Club, Guadalajara",59500,3,3,296,Puerta de Hierro,Zapopan,Department
,23900,3,2,137,Juan Manuel Vallarta,Zapopan,Department
,30950,2,2,110,Country Club,Guadalajara,Department
,32000,3,2,138,Providencia,Guadalajara,Department
Av. México 5000,19900,1,1,111,Juan Manuel Vallarta,Zapopan,Department
Hidalgo residences,28500,2,2,90,Americana,Guadalajara,Department
Brasilia 2790,24500,2,2,90,Colomos Patria,Zapopan,Department
Av Naciones Unidas 5546,26500,2,2,105,Vallarta Universidad,Zapopan,Department
"Av. Acueducto, Colinas de San Javier",39000,3,3,112,Colinas de San Javier,Zapopan,Department
Brasilia 2790,25000,1,2,72,Fraccionamiento Colomos Providencia,Guadalajara,Department
"Av. Ignacio L. Vallarta 2474, Arcos Vallarta, 44130 Guadalajara, Jal.",24900,2,2,90,Arcos Vallarta,Guadalajara,Department
av paseo la toscana 600,34000,3,2,135,Valle Real,Zapopan,Department
Morelos 2080,21500,2,2,70,Americana,Guadalajara,Department
De los himalaya,45000,3,3,220,Virreyes Residencial,Zapopan,Department
Hipódromo  2019,45000,3,3,160,Fraccionamiento Colomos Providencia,Guadalajara,Department
Calle Vidrio 1984,23000,1,2,64,Americana,Guadalajara,Department
Paseo Valle Real,23500,2,2,150,Valle Real,Zapopan,Department
Vidrio 1984 5,21000,1,2,60,Americana,Guadalajara,Department
Av López Mateos  5541,19786,2,2,93,Las Aguilas,Zapopan,Department
MONTEVIDEO 3044,22000,3,2,116,Providencia,Guadalajara,Department
Calle Vidrio 1984,25000,1,2,63,Americana,Guadalajara,Department
Paseo de la Estrella 677,22000,2,2,110,Fraccionamiento Solares,Zapopan,Department
Living Ouest,22500,2,2,100,Ciudad Granja,Zapopan,Department
privada tlaloc 1289,10900,3,2,80,Fraccionamiento Villas Del Ixtepete,Zapopan,Department
Av. Circunvalación Agustín Yáñez 2471,20000,2,2,80,Arcos Vallarta,Guadalajara,Department
Boulevard Valle Real 4000,48000,3,3,170,Valle Real,Zapopan,Department
"Calle Cto. Madrigal 1151, Colinas de San Javier",35000,3,3,180,Lomas del Valle,Guadalajara,Department
Jose Maria Vigil 2700,43000,3,3,250,Providencia,Guadalajara,Department
Av. Montevideo 3078,33000,2,2,144,Providencia,Guadalajara,Department
valparaiso 2367,27000,1,1,75,Providencia 1a Secc,Guadalajara,Department
empresarios 87,45000,3,3,160,Puerta de Hierro,Zapopan,Department
Luna,31500,2,2,126,Jardines del Bosque,Guadalajara,Department
Adolfo López Mateos Sur 4255,25000,2,2,100,Loma Bonita,Zapopan,Department
Torre de Hierro,90000,3,4,346,Puerta de Hierro,Zapopan,Department
Calz de los Laureles 1084,20000,2,2,98,Ciudad Granja,Zapopan,Department
 Gral. Eulogio Parra 3035,35000,2,2,197,Prados de Providencia,Guadalajara,Department
Vista Lomas,48000,3,2,118,Lomas Altas,Zapopan,Department
Justo Sierra 1875,18000,1,2,100,Americana,Guadalajara,Department
Av. Plan de San Luis 2058,21500,1,1,60,Fraccionamiento Country Club,Guadalajara,Department
MONTEVIDEO 3070,39900,3,3,169,Providencia,Guadalajara,Department
Av. Paseo Lomas Altas ,40000,3,2,120,Lomas Altas,Zapopan,Department
Departamento EN Renta Colomos Providencia 206 Guadalajara Jalisco,35900,2,2,113,Fraccionamiento Colomos Providencia,Guadalajara,Department
"Juan Bernardino, Chapalita 229",18000,1,1,66,Fraccionamiento Chapalita de Occidente,Zapopan,Department
Enrique Diaz de Leon  823,22000,2,3,135,Villaseñor,Guadalajara,Department
"Juan Bernardino, Chapalita 229",18000,1,1,66,Fraccionamiento Chapalita de Occidente,Zapopan,Department
valparaiso 2367,25000,1,1,78,Providencia 1a Secc,Guadalajara,Department
valparaiso 2367,27000,1,1,75,Providencia 1a Secc,Guadalajara,Department
empresarios 87,45000,3,3,160,Puerta de Hierro,Zapopan,Department
Enrique Diaz de Leon  823,22000,2,3,135,Villaseñor,Guadalajara,Department
Luna,31500,2,2,126,Jardines del Bosque,Guadalajara,Department
Av López Mateos  5541,19786,2,2,93,Las Aguilas,Zapopan,Department
royal Country 4734,28000,2,2,100,Puerta de Hierro,Zapopan,Department
ALARA MONTEVIDEO 3070,35000,3,2,152,Providencia,Guadalajara,Department
Calz. Lázaro Cárdenas 3490,29000,2,2,114,Chapalita,Guadalajara,Department
Departamento EN Renta Colomos Providencia 206 Guadalajara Jalisco,35900,2,2,113,Fraccionamiento Colomos Providencia,Guadalajara,Department
Av México  5000,22500,1,2,110,Juan Manuel Vallarta,Zapopan,Department
CHAPULTEPEC 480,22000,2,2,99,Americana,Guadalajara,Department
Calz de los Laureles 1084,20000,2,2,98,Ciudad Granja,Zapopan,Department
Eva Briseñ 702,23000,2,2,100,Santa Fe,Zapopan,Department
Altamira Departamento,25000,2,1,125,Altamira,Zapopan,Department
Calle Salvador López Chávez 1750,15000,2,2,81,San Carlos,Guadalajara,Department
Acueducto 360,47000,3,3,310,Puerta de Hierro,Zapopan,Department
Av. Hidalgo 157,22000,2,2,89,Americana,Guadalajara,Department
Av. Hidalgo 1830,20000,2,3,140,Fraccionamiento Ladrón de Guevara,Guadalajara,Department
san agustin 1289 interior 4,11000,2,2,69,Lomas Independencia,Guadalajara,Department
MARSELLA 226,18000,2,1,85,Fraccionamiento Jardines de San Ignacio,Zapopan,Department
