Location,Price,No. of rooms,No. of bathrooms,Area,Neighborhood,Municipality,Type,Price per sq meter,Bathrooms per room,Price_Category
ALVARO OBREGON 1570,12000,2.0,1.0,60.0,Penal,Guadalajara,Department,200.0,0.5,10k-20k
Avenida Naciones Unidas #4839 - 2,19000,1.0,1.0,60.0,Jardines Universidad,Zapopan,Department,316.6666666666667,1.0,10k-20k
,18000,2.0,1.0,60.0,Ladrón de Guevara,Guadalajara,Department,300.0,0.5,10k-20k
Juan palomar y Arias  765 B-805,39500,1.0,4.0,60.0,Prados de Providencia,Guadalajara,Department,658.3333333333334,4.0,30k-40k
Paseo Lomas Altas,17000,2.0,2.0,60.0,Valle Real,Zapopan,Department,283.3333333333333,1.0,10k-20k
PASEO LOMAS ALTAS 4777,19500,1.0,1.0,60.0,Fraccionamiento Italia Providencia,Guadalajara,Department,325.0,1.0,10k-20k
av royal country 5395,14500,2.0,3.0,60.0,Paseos del Sol,Zapopan,House,241.66666666666666,1.5,10k-20k
,22000,2.0,4.0,60.0,San Agustín,Tlajomulco de Zúñiga,House,366.6666666666667,2.0,20k-30k
NACIONES UNIDAS,19500,2.0,2.0,60.0,Jardines Universidad,Zapopan,Department,325.0,1.0,10k-20k
Av. Plan de San Luis 2058,21500,1.0,1.0,60.0,Fraccionamiento Country Club,Guadalajara,Department,358.3333333333333,1.0,20k-30k
av empresarios 62,19000,3.0,2.0,60.0,Americana,Guadalajara,Department,316.6666666666667,0.6666666666666666,10k-20k
Calle A 190,9000,3.0,2.0,60.0,Fraccionamiento Valle de San Nicolás,Zapopan,House,150.0,0.6666666666666666,0-10k
Av. José María Vigil,34000,1.0,2.0,60.0,Providencia,Guadalajara,Department,566.6666666666666,2.0,30k-40k
Avenida morelos 2080,18000,1.0,1.0,60.0,Ladrón de Guevara,Guadalajara,Department,300.0,1.0,10k-20k
Av. Aviacion,17000,1.0,1.0,61.0,San Juan de Ocotan,Zapopan,Department,278.6885245901639,1.0,10k-20k
san agustin 1289 interior 4,17000,1.0,1.0,61.0,San Juan de Ocotan,Zapopan,Department,278.6885245901639,1.0,10k-20k
av camino real a colima 481,17000,1.0,1.0,61.0,San Juan de Ocotan,Zapopan,Department,278.6885245901639,1.0,10k-20k
Brasilia 2790 ,19000,1.0,2.0,61.0,Fraccionamiento Puerta del Valle,Zapopan,Department,311.4754098360656,2.0,10k-20k
Av Talavera Poniente 3605,17000,2.0,1.0,62.0,Fraccionamiento Jardines de Guadalupe,Zapopan,Department,274.19354838709677,0.5,10k-20k
Prolongación Gigantes,20500,1.0,1.0,62.0,Fraccionamiento Puerta del Valle,Zapopan,Department,330.64516129032256,1.0,20k-30k
Torre vista vento,16800,3.0,3.0,62.0,Guadalajara Centro,Guadalajara,Department,270.96774193548384,1.0,10k-20k
Jardines de Guadalupe,17000,2.0,1.0,62.0,Fraccionamiento Jardines de Guadalupe,Zapopan,Department,274.19354838709677,0.5,10k-20k
paseo de la estrella 3555,13500,2.0,2.0,62.0,Nuevo México,Zapopan,House,217.74193548387098,1.0,10k-20k
,17000,2.0,1.0,62.0,Fraccionamiento Jardines de Guadalupe,Zapopan,Department,274.19354838709677,0.5,10k-20k
Calle Salvador López Chávez 1750-interior 4,9500,2.0,1.0,63.0,San Carlos,Guadalajara,Department,150.79365079365078,0.5,0-10k
Calle Vidrio 1984,25000,1.0,2.0,63.0,Americana,Guadalajara,Department,396.8253968253968,2.0,20k-30k
Calderon de la Barca 26,9000,2.0,2.0,63.0,San Andrés,Guadalajara,Department,142.85714285714286,1.0,0-10k
Gabriel Castaños 2759,25000,1.0,2.0,63.0,Arcos Vallarta,Guadalajara,Department,396.8253968253968,2.0,20k-30k
Valparaiso 2367,21500,1.0,1.0,63.0,Providencia,Guadalajara,Department,341.26984126984127,1.0,20k-30k
,10900,3.0,2.0,64.0,La Venta del Astillero,Zapopan,House,170.3125,0.6666666666666666,10k-20k
"Mar Mediterráneo 1254, 44610 Guadalajara, Jal.",25000,2.0,2.0,64.0,Americana,Guadalajara,Department,390.625,1.0,20k-30k
AV. GUADALAJARA S/N,12700,2.0,2.0,64.0,Jardines del Valle,Zapopan,Department,198.4375,1.0,10k-20k
